geo_description,label,year,description,estimate,moe,se,cv
United States,HD01_VD02,2006,Estimate; Total (dollars):,27239,45.28,23.1,0.08
Wilson ,HD01_VD06,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Male -- - Other (dollars),8484,4508.6,2300.31,27.11
United States,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),24960,76.26,38.91,0.16
North Carolina,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23004,459.91,234.65,1.02
Alamance ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23026,2523.57,1287.54,5.59
Brunswick ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20553,2763.06,1409.72,6.86
Buncombe ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21921,1459.57,744.68,3.4
Burke ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21980,1986.21,1013.37,4.61
Cabarrus ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),24939,2805.96,1431.61,5.74
Caldwell ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),22169,2680.85,1367.78,6.17
Carteret ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20246,4643.23,2368.99,11.7
Catawba ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21789,1662.13,848.03,3.89
Chatham ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21282,2480.68,1265.65,5.95
Cleveland ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21146,1593.02,812.77,3.84
Craven ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21200,1983.83,1012.16,4.77
Cumberland ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21973,1278.47,652.28,2.97
Davidson ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),24169,3026.38,1544.07,6.39
Durham ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),30362,2722.55,1389.06,4.57
Forsyth ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),22448,1594.21,813.37,3.62
Gaston ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21885,1201.02,612.77,2.8
Guilford ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23815,1632.34,832.83,3.5
Harnett ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20407,2438.98,1244.38,6.1
Henderson ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),25950,3750.81,1913.68,7.37
Iredell ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),22548,2112.51,1077.81,4.78
Johnston ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),26624,4900.6,2500.31,9.39
Lincoln ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23556,3978.38,2029.79,8.62
Mecklenburg ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),26613,912.68,465.65,1.75
Moore ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),26509,7499.23,3826.14,14.43
Nash ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21939,3443.4,1756.84,8.01
New Hanover ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),22280,1904,971.43,4.36
Onslow ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),18989,2060.09,1051.07,5.54
Orange ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21253,3085.96,1574.47,7.41
Pitt ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20551,1819.4,928.27,4.52
Randolph ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23643,3047.83,1555.02,6.58
Robeson ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),19425,2366.3,1207.3,6.22
Rockingham ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20671,2156.6,1100.31,5.32
Rowan ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20742,2671.32,1362.92,6.57
Rutherford ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),16790,3018.04,1539.82,9.17
Surry ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21390,2126.81,1085.11,5.07
Union ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),23837,3267.06,1666.87,6.99
Wake ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),30479,954.38,486.93,1.6
Wayne ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),20028,3317.11,1692.4,8.45
Wilkes ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21747,1509.62,770.21,3.54
Wilson ,HD01_VD08,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Total (dollars),21554,1444.09,736.78,3.42
United States,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",37412,67.91,34.65,0.09
North Carolina,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",34421,576.68,294.22,0.85
Alamance ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",31873,2058.89,1050.45,3.3
Brunswick ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",28476,3715.06,1895.44,6.66
Buncombe ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",31916,1448.85,739.21,2.32
Burke ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30990,1727.66,881.46,2.84
Cabarrus ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",40393,3240.85,1653.49,4.09
Caldwell ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",28545,3885.45,1982.37,6.94
Carteret ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",34310,4408.51,2249.24,6.56
Catawba ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30569,1713.36,874.16,2.86
Chatham ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",35428,6717.62,3427.36,9.67
Cleveland ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",27841,3834.21,1956.23,7.03
Craven ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32399,2234.04,1139.82,3.52
Cumberland ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32369,2052.94,1047.42,3.24
Davidson ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32520,3626.89,1850.45,5.69
Durham ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",46042,2077.96,1060.18,2.3
Forsyth ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",34165,2502.13,1276.6,3.74
Gaston ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32327,2392.51,1220.67,3.78
Guilford ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",35152,1915.91,977.51,2.78
Harnett ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",31155,1641.87,837.69,2.69
Henderson ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",37192,5005.45,2553.8,6.87
Iredell ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32211,1464.34,747.11,2.32
Johnston ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",36701,2679.66,1367.17,3.73
Lincoln ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32434,5336.68,2722.8,8.39
Mecklenburg ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",38572,1855.15,946.51,2.45
Moore ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",36432,5373.62,2741.64,7.53
Nash ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32002,2794.04,1425.53,4.45
New Hanover ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",35511,2120.85,1082.07,3.05
Onslow ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30990,1766.98,901.52,2.91
Orange ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",47533,4926.81,2513.68,5.29
Pitt ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",33232,4002.21,2041.94,6.14
Randolph ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",33135,2919.15,1489.36,4.49
Robeson ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",27787,2816.68,1437.08,5.17
Rockingham ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",31200,2235.23,1140.42,3.66
Rowan ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",32307,2483.06,1266.87,3.92
Rutherford ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30186,7906.72,4034.04,13.36
Surry ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",31691,1396.43,712.46,2.25
Union ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",38457,3439.83,1755.02,4.56
Wake ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",41603,1090.21,556.23,1.34
Wayne ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30738,2153.02,1098.48,3.57
Wilkes ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",26588,2652.26,1353.19,5.09
Wilson ,HD01_VD09,2012,"Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Worked full-time, year-round in the past 12 months (dollars)",30495,3038.3,1550.15,5.08
United States,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10081,33.36,17.02,0.17
North Carolina,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9388,260.94,133.13,1.42
Alamance ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8815,1447.66,738.6,8.38
Brunswick ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8438,3811.57,1944.68,23.05
Buncombe ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9220,1320.17,673.56,7.31
Burke ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9724,2863.15,1460.79,15.02
Cabarrus ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9908,1334.47,680.85,6.87
Caldwell ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7254,3299.23,1683.28,23.2
Carteret ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10182,1575.15,803.65,7.89
Catawba ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10539,1654.98,844.38,8.01
Chatham ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10889,1986.21,1013.37,9.31
Cleveland ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7013,1894.47,966.57,13.78
Craven ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8023,2222.13,1133.74,14.13
Cumberland ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7725,915.06,466.87,6.04
Davidson ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10214,1750.3,893.01,8.74
Durham ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10024,2291.23,1168.99,11.66
Forsyth ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9555,1432.17,730.7,7.65
Gaston ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9498,1753.87,894.83,9.42
Guilford ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10586,925.79,472.34,4.46
Harnett ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9685,1529.87,780.55,8.06
Henderson ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),11739,2243.57,1144.68,9.75
Iredell ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9047,1645.45,839.52,9.28
Johnston ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9105,1492.94,761.7,8.37
Lincoln ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),11168,1868.26,953.19,8.54
Mecklenburg ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10445,631.49,322.19,3.08
Moore ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),11038,2630.81,1342.25,12.16
Nash ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9271,3995.06,2038.3,21.99
New Hanover ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8780,2011.23,1026.14,11.69
Onslow ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7548,2037.45,1039.52,13.77
Orange ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),5876,1807.49,922.19,15.69
Pitt ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7651,1408.34,718.54,9.39
Randolph ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),11024,1826.55,931.91,8.45
Robeson ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),9939,1806.3,921.58,9.27
Rockingham ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),7568,2098.21,1070.52,14.15
Rowan ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10521,1229.62,627.36,5.96
Rutherford ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),5747,2161.36,1102.73,19.19
Surry ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8520,1551.32,791.49,9.29
Union ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8950,1054.47,537.99,6.01
Wake ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),11134,838.81,427.96,3.84
Wayne ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),8611,2391.32,1220.06,14.17
Wilkes ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),10412,4147.57,2116.11,20.32
Wilson ,HD01_VD10,2012,Estimate; Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) -- - Female -- - Other (dollars),6597,2276.94,1161.7,17.61
United States,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,30454,34.55,17.63,0.06
North Carolina,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27389,213.28,108.82,0.4
Alamance ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25773,1426.21,727.66,2.82
Brunswick ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25083,4382.3,2235.87,8.91
Buncombe ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27117,2450.89,1250.45,4.61
Burke ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,23171,2529.53,1290.58,5.57
Cabarrus ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,32261,2086.3,1064.44,3.3
Caldwell ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25313,3381.45,1725.23,6.82
Carteret ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,24598,2760.68,1408.51,5.73
Catawba ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25826,1756.26,896.05,3.47
Chatham ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,30463,4239.32,2162.92,7.1
Cleveland ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25805,2010.04,1025.53,3.97
Craven ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,26383,1930.21,984.8,3.73
Cumberland ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27978,1317.79,672.34,2.4
Davidson ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,26781,1691.91,863.22,3.22
Durham ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,30247,1880.17,959.27,3.17
Forsyth ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,28924,2923.91,1491.79,5.16
Gaston ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27464,2427.06,1238.3,4.51
Guilford ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27450,1413.11,720.97,2.63
Harnett ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,31213,1899.23,968.99,3.1
Henderson ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,24349,2046.98,1044.38,4.29
Iredell ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,30085,2704.68,1379.94,4.59
Johnston ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,29578,2921.53,1490.58,5.04
Lincoln ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,31330,2247.15,1146.51,3.66
Mecklenburg ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,31179,626.72,319.76,1.03
Moore ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,28641,5247.32,2677.2,9.35
Nash ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,25497,1750.3,893.01,3.5
New Hanover ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,26644,1409.53,719.15,2.7
Onslow ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,24833,1566.81,799.39,3.22
Orange ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,27982,4348.94,2218.85,7.93
Pitt ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,22628,3370.72,1719.76,7.6
Randolph ,HD01_VD02,2013,Estimate; Median earnings in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):,26522,1369.02,698.48,2.63
